,Iteration,Fitness,FEvals,Time,State,max_iters,is_classifier,mutation_prob,pop_size,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,0.7226533529619258,401,0.8362399009993169,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
1,1,0.6213716304705987,803,1.9421571869997933,"[0.9687119767884529, 0.5814463296779271, -0.36249499413586017, 0.2517827528740182, -0.08748779771605353, 0.23172637636460913, -0.7750986535329336, -0.951198436886924, 0.7401977478018598, 0.9853094945054319, 0.7494033453683988, -0.9543585399703054, 0.8781353970257924, 0.09976711897550428, -0.38180902260058147, -0.2985763690965797, 0.5343765778622538, 0.007104302033969612, 0.11742590518904317, -0.5198082074430248, 0.7473542283726775, 0.9681669383985902, 0.5365468277290364, -0.16446643566533248, 0.11371751147452369, 0.475164603177783, 0.512122224011075, -0.4048585671183691, 0.5785813093542094, -0.9375728793225049, -0.4669803255120033, -0.23314773337218586, -0.39343794786910946, -0.27483357481064585, -0.4635146136718842, 0.6411194619764049, -0.9214161096986151, 0.3098142462957181, -0.11452814458708338, 0.8978324363774302, -0.5080005193864097, 0.4499645184191934, -0.03528758283449407, 0.7423928744368147, -0.6599002141966814, -0.8528407236804969, -0.5708703598143003, 0.47630150968337936, -0.6217226073465199, 0.14698352778195334, -0.5695123589980926, 0.7232499001679569]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
2,10,0.6147977485781413,4413,11.584331090999513,"[0.9034048127810743, -0.36055830132029154, 0.1755798865089253, 0.7625013633637796, -0.4544107865355689, -0.8334846838987358, 0.4491158183176365, -0.37697540197202795, 0.3828833834377454, -0.11469030347913378, -0.45468037344051915, 0.5558188134970736, 0.30598735953864264, -0.11374530935417093, 0.6994260891607882, 0.7965899447094771, -0.40013329380730345, 0.7911234606537552, -0.8351545125077247, 0.5715504961446716, -0.7455533896789832, 0.5266601343370834, 0.138870179726428, 0.6681924948755105, -0.7572894777623627, -0.014671548338942575, 0.8020769954680464, -0.4047841904250964, -0.9063720855315449, -0.3926030617421066, 0.087606318636539, -0.33897355853509925, -0.4247164971304478, -0.6309760088025769, 0.9028600907426789, 0.3265612737156365, -0.03582131095104013, -0.8842805817578108, 0.9224158024457194, 0.19903906674521998, 0.41913543279612187, 0.6632714534963433, 0.5221929392968971, -0.9342745484097204, -0.516533880202551, 0.5975709417522914, -0.11942380541999387, 0.7991704329241915, 0.9846595738641579, 0.9443659363740822, 0.9962149477412765, -0.5165725358173641]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
3,50,0.598333513286658,20459,54.24450858,"[0.8172584156646905, 0.9429101902789563, 0.10602111540317494, 0.4362461524529888, 0.27217333186465864, -0.8276193452806897, -0.05530959214733633, -0.9696167640728954, 0.8907934008181779, -0.6305814196758845, -0.025274380859458212, 0.5923010160461486, 0.31664375950169643, 0.5842249577086518, -0.3316328281176495, 0.2221814231996031, -0.15141438343803126, 0.19380028622186152, -0.11236303169637374, -0.2806337429143215, -0.8201734727272052, 0.09704857497022923, -0.011875785562142083, -0.6087665813427512, -0.9861556980495609, -0.7317001509103105, -0.8562291356197234, 0.5755303434607371, 0.26345077615443113, 0.7117713136131156, -0.16608314499585708, 0.6661306907261872, -0.7902720646041543, 0.5601754729040984, -0.9273019157587119, 0.8822081205596506, 0.21141789822657375, 0.4123646321509866, -0.17622552040407324, -0.4943027642557243, -0.8778923924092601, 0.8220619952867578, 0.6278654768353908, -0.7707201128285863, 0.45464132551403935, -0.09510848080616952, 0.667981524198193, -0.7194299744240664, -0.9597039631832149, 0.709728787464726, 0.8810750596348578, -0.054295674072528666]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
4,100,0.5882911684838983,40510,107.4952740889994,"[0.48815814932972224, 0.21334738288232113, 0.04682765423622559, -0.9232277316314279, 0.5023085565276482, -0.006119161434456233, -0.34982094249924645, 0.8762638799845648, 0.6052349603500624, -0.4993992014679214, -0.6472325430481844, -0.5084154872923794, -0.5811576141672024, -0.23184672278623664, 0.214224305732432, 0.2871810025048567, 0.5799277001018956, -0.8542507527764991, 0.6790653274762377, -0.5916949074133706, 0.6777666887346889, 0.4335057273056526, -0.6251870127908563, 0.30475992211913394, -0.8397990287556567, 0.5247193349659007, -0.30831256245223937, -0.7996579855971335, -0.10280542796228676, -0.05128406937214902, 0.24909097447756023, -0.15228885502910772, 0.8676733135388546, -0.16509835469752, 0.02781098684160277, 0.0770722004254143, 0.18590854585480665, 0.8459993122309752, -0.17602559634552772, -0.7234108859008479, -0.7542285842056617, 0.8220619952867578, 0.9926258103126286, -0.9753515632881942, -0.23507920536095228, -0.09510848080616952, 0.667981524198193, -0.7238572908434007, -0.9597039631832149, 0.709728787464726, 0.8810750596348578, 0.1316359857189362]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
5,250,0.5814416167793478,100664,267.48352819699994,"[0.4564456537341821, 0.1842642772953349, 0.3291205107152253, 0.08474201425758032, 0.7614229397112329, 0.16342579812461322, 0.08627278595373822, 0.4785302108192895, 0.873340979985809, -0.481168220637213, -0.6948855566331591, 0.193987179028688, 0.8142004778059238, 0.8405251959899078, -0.5093856736743385, -0.8513206593622731, -0.653999077826483, 0.9003750059783198, 0.912204136620254, -0.4473617830682928, 0.04429376254113793, 0.4667229733526219, -0.10403149142502244, -0.6121941550123997, 0.4296401332071884, 0.9785075627463689, 0.9787456162512245, -0.9432585488408474, 0.11569806200301946, -0.25978624576394727, 0.5776648873730377, 0.2775226408572067, -0.32909518478838584, 0.5601754729040984, -0.08848176213066417, 0.13604756363983883, 0.2849365521646736, -0.5563128993107094, 0.003790543704907501, -0.04341093027547549, -0.7542285842056617, 0.6892188155589882, 0.9926258103126286, -0.9753515632881942, -0.0021918596740326812, -0.5346506306048739, 0.667981524198193, 0.6171236092181971, -0.9597039631832149, 0.6370773705348542, 0.8810750596348578, -0.8179455883047002]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
6,500,0.5709829278485885,200920,531.8550873019994,"[-0.42692361502525755, 0.22758967118975226, -0.11656773964909384, 0.6003383518579015, 0.4927269299094006, 0.31510922324380397, 0.4309602838691915, 0.07262514071641757, 0.8528058131627805, -0.5354016900392571, -0.33838112099157636, 0.32390699268708834, -0.02593332473870169, 0.8405251959899078, -0.9397168089090366, 0.7501227179679641, 0.04845930464918169, -0.4031199401258765, -0.5040753888518474, -0.4473617830682928, 0.5595025720652076, -0.5088651797098207, -0.9409939285617874, 0.3284177161623605, -0.347768775015334, -0.1300216670895722, 0.2277951200122721, 0.08008700333610008, 0.23374408647370726, -0.7204131181122715, 0.06822382443980879, 0.4496970098252002, -0.0628700339928252, -0.19711735466693936, 0.06171275894458783, -0.7838695851129196, 0.9317143721935797, 0.7958210762704874, 0.9962893895761031, -0.07446864448330404, -0.9426258934865286, 0.8914760132037913, 0.9926258103126286, -0.2248016730315956, 0.7243303430423371, 0.489572742551716, 0.07160648738445308, -0.1827779916455845, -0.7475555749898384, 0.9512892051955608, 0.9423209372345922, -0.8179455883047002]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
7,1000,0.5603329913313964,401422,1057.0044616279993,"[0.4564456537341821, 0.1842642772953349, 0.3291205107152253, 0.08474201425758032, -0.9141472379285116, 0.16342579812461322, 0.3845561766667933, 0.15506764472914214, 0.8542071767759956, -0.7388184508912463, -0.7903104292413794, 0.8817354754899103, 0.3948713438318123, 0.2969547668072605, -0.5192806431238317, -0.33447264035520297, 0.3186863810509599, -0.3975661030752855, 0.530985274044387, 0.17735990163006465, -0.39378382690216673, -0.2530360764991484, -0.026513273188192743, 0.9310157215834938, 0.4296401332071884, 0.3855763107317527, -0.3918513455549699, -0.92320451115923, 0.9822264254421786, 0.11378517435706215, 0.7781262748165676, -0.7003992291636276, -0.625233781530482, -0.19711735466693936, 0.5300807354497044, 0.9425962702211299, 0.2700471466759, 0.906193138281036, -0.177008648544144, -0.9785011308973561, -0.9446088538920812, 0.7029212559778819, 0.9926258103126286, -0.8959401191544847, 0.5685663471619173, 0.571928422549586, -0.28983007922228254, 0.3701201356562438, -0.9597039631832149, 0.9332856880315734, 0.8810750596348578, -0.9277257447730014]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
8,2500,0.5603329913313964,401422,1057.0044616279993,"[0.4564456537341821, 0.1842642772953349, 0.3291205107152253, 0.08474201425758032, -0.9141472379285116, 0.16342579812461322, 0.3845561766667933, 0.15506764472914214, 0.8542071767759956, -0.7388184508912463, -0.7903104292413794, 0.8817354754899103, 0.3948713438318123, 0.2969547668072605, -0.5192806431238317, -0.33447264035520297, 0.3186863810509599, -0.3975661030752855, 0.530985274044387, 0.17735990163006465, -0.39378382690216673, -0.2530360764991484, -0.026513273188192743, 0.9310157215834938, 0.4296401332071884, 0.3855763107317527, -0.3918513455549699, -0.92320451115923, 0.9822264254421786, 0.11378517435706215, 0.7781262748165676, -0.7003992291636276, -0.625233781530482, -0.19711735466693936, 0.5300807354497044, 0.9425962702211299, 0.2700471466759, 0.906193138281036, -0.177008648544144, -0.9785011308973561, -0.9446088538920812, 0.7029212559778819, 0.9926258103126286, -0.8959401191544847, 0.5685663471619173, 0.571928422549586, -0.28983007922228254, 0.3701201356562438, -0.9597039631832149, 0.9332856880315734, 0.8810750596348578, -0.9277257447730014]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
9,5000,0.5603329913313964,401422,1057.0044616279993,"[0.4564456537341821, 0.1842642772953349, 0.3291205107152253, 0.08474201425758032, -0.9141472379285116, 0.16342579812461322, 0.3845561766667933, 0.15506764472914214, 0.8542071767759956, -0.7388184508912463, -0.7903104292413794, 0.8817354754899103, 0.3948713438318123, 0.2969547668072605, -0.5192806431238317, -0.33447264035520297, 0.3186863810509599, -0.3975661030752855, 0.530985274044387, 0.17735990163006465, -0.39378382690216673, -0.2530360764991484, -0.026513273188192743, 0.9310157215834938, 0.4296401332071884, 0.3855763107317527, -0.3918513455549699, -0.92320451115923, 0.9822264254421786, 0.11378517435706215, 0.7781262748165676, -0.7003992291636276, -0.625233781530482, -0.19711735466693936, 0.5300807354497044, 0.9425962702211299, 0.2700471466759, 0.906193138281036, -0.177008648544144, -0.9785011308973561, -0.9446088538920812, 0.7029212559778819, 0.9926258103126286, -0.8959401191544847, 0.5685663471619173, 0.571928422549586, -0.28983007922228254, 0.3701201356562438, -0.9597039631832149, 0.9332856880315734, 0.8810750596348578, -0.9277257447730014]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
10,10000,0.5603329913313964,401422,1057.0044616279993,"[0.4564456537341821, 0.1842642772953349, 0.3291205107152253, 0.08474201425758032, -0.9141472379285116, 0.16342579812461322, 0.3845561766667933, 0.15506764472914214, 0.8542071767759956, -0.7388184508912463, -0.7903104292413794, 0.8817354754899103, 0.3948713438318123, 0.2969547668072605, -0.5192806431238317, -0.33447264035520297, 0.3186863810509599, -0.3975661030752855, 0.530985274044387, 0.17735990163006465, -0.39378382690216673, -0.2530360764991484, -0.026513273188192743, 0.9310157215834938, 0.4296401332071884, 0.3855763107317527, -0.3918513455549699, -0.92320451115923, 0.9822264254421786, 0.11378517435706215, 0.7781262748165676, -0.7003992291636276, -0.625233781530482, -0.19711735466693936, 0.5300807354497044, 0.9425962702211299, 0.2700471466759, 0.906193138281036, -0.177008648544144, -0.9785011308973561, -0.9446088538920812, 0.7029212559778819, 0.9926258103126286, -0.8959401191544847, 0.5685663471619173, 0.571928422549586, -0.28983007922228254, 0.3701201356562438, -0.9597039631832149, 0.9332856880315734, 0.8810750596348578, -0.9277257447730014]",1000,True,0.25,400,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",ga,relu,True,True,1,[4],0.1,1000
