,Iteration,Fitness,FEvals,Time,State,max_iters,is_classifier,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts,current_restart
0,0,0.7234759772688905,1,0.013537265999730153,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
1,1,0.7234119646246324,3,0.02762204999999085,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.46846605302431377, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
2,10,0.7196299450735393,15,0.06347527299976718,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.8210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.7167946962329222, -0.39077246165325863, -0.8046557719872323, 0.46846605302431377, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.8312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
3,50,0.6698463913784893,73,0.18804070499982117,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.2973169683940732, -0.687962719115127, -0.6880109593275947, -0.7838327756636011, 0.7323522915498704, 0.2022300234864176, 0.516145155592091, -0.9588310114083951, 1.0, 0.6648852816008435, -0.6753217786434477, -0.5363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.9210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.12846887682722322, 0.18482913772408494, -0.9070991745600046, 0.3150897038028767, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 1.0, 0.8167946962329222, -0.39077246165325863, -0.8046557719872323, 0.5684660530243137, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.8312229577695632, 1.0, -0.48244003679996617, 0.32504456870796394, -0.2765778478211781, 0.040136042355621626, 0.0934205586865593, -0.5302910889489459, 1.0, 0.6502656467222291]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
4,100,0.660325082559125,139,0.38156784100010555,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.2973169683940732, -0.687962719115127, -0.6880109593275947, -0.7838327756636011, 0.9323522915498703, 0.2022300234864176, 0.516145155592091, -0.9588310114083951, 1.0, 0.6648852816008435, -0.8753217786434476, -0.5363500655857988, -0.6331909802931324, -0.39151551408092455, -0.050487136735524324, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.9210122786959163, -0.3157107029295637, -0.3672763134126166, -0.08786003156592814, 0.4703519227860272, -0.6006524356832805, 0.32846887682722326, 0.18482913772408494, -1.0, 0.3150897038028767, -0.7589517526254169, -0.869896814029441, 0.7977710745066665, 1.0, 0.8167946962329222, -0.39077246165325863, -0.8046557719872323, 0.6684660530243137, -0.01969501252079739, -0.7559235303104423, -0.10964617977745963, -0.8312229577695632, 1.0, -0.48244003679996617, 0.32504456870796394, -0.2765778478211781, 0.040136042355621626, 0.0934205586865593, -0.5302910889489459, 1.0, 0.6502656467222291]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
5,250,0.6322059150769491,342,0.9853354429997125,"[-0.250919762305275, 0.8014286128198324, 0.5639878836228102, 0.39731696839407316, -0.687962719115127, -0.5880109593275947, -0.7838327756636011, 0.6323522915498704, 0.2022300234864176, 0.516145155592091, -0.9588310114083951, 0.8, 0.6648852816008435, -0.8753217786434476, -0.4363500655857988, -0.5331909802931324, -0.39151551408092455, -0.15048713673552433, -0.13610996271576847, -0.2175417196039162, 0.22370578944475894, -0.7210122786959163, -0.6157107029295636, -0.6672763134126165, -0.08786003156592814, 0.27035192278602727, -0.40065243568328057, 0.42846887682722323, 0.18482913772408494, -0.8, 0.2150897038028767, -1.0, -0.869896814029441, 0.8977710745066665, 1.0, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 1.0, -0.01969501252079739, -0.7559235303104423, -0.20964617977745964, -0.6312229577695633, 1.0, -0.48244003679996617, 0.5250445687079639, -0.2765778478211781, 0.040136042355621626, 0.0934205586865593, -0.43029108894894597, 1.0, 0.950265646722229]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
6,500,0.611244602165264,669,2.0047477650000474,"[-0.250919762305275, 0.40142861281983244, 0.6639878836228101, 0.5973169683940731, -0.687962719115127, -0.2880109593275948, -0.8838327756636011, 0.4323522915498704, 0.2022300234864176, 1.0, -1.0, 0.40000000000000013, 0.6648852816008435, -1.0, -0.4363500655857988, -0.23319098029313243, -0.39151551408092455, -0.05048713673552435, -0.3361099627157685, -0.3175417196039162, 0.22370578944475894, -0.6210122786959164, -1.0, -0.7672763134126165, -0.08786003156592814, 0.07035192278602725, -0.5006524356832806, 0.7284688768272232, 0.18482913772408494, -0.5000000000000001, -0.08491029619712331, -1.0, -0.869896814029441, 1.0, 1.0, 0.5167946962329223, -0.39077246165325863, -1.0, 1.0, 0.18030498747920262, -0.7559235303104423, -0.40964617977745965, -0.6312229577695633, 1.0, -0.48244003679996617, 0.6250445687079639, -0.3765778478211781, -0.05986395764437838, 0.0934205586865593, -0.5302910889489459, 0.8, 0.950265646722229]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
7,1000,0.584500282595806,1269,4.015255082999829,"[-0.250919762305275, 0.40142861281983244, 0.6639878836228101, 0.49731696839407313, -0.687962719115127, -0.08801095932759478, -1.0, 0.33235229154987045, 0.2022300234864176, 1.0, -1.0, -0.09999999999999987, 0.6648852816008435, -0.9, -0.23635006558579882, -0.033190980293132416, -0.39151551408092455, -0.25048713673552436, -0.13610996271576847, -0.2175417196039162, 0.22370578944475894, -0.021012278695916403, -0.9, -1.0, -0.08786003156592814, -0.12964807721397276, -0.3006524356832806, 0.42846887682722323, 0.18482913772408494, -0.10000000000000014, -0.48491029619712334, -1.0, -0.869896814029441, 0.7000000000000001, 1.0, 0.6167946962329223, -0.39077246165325863, -1.0, 0.9, 0.5803049874792026, -0.7559235303104423, -0.8096461797774596, -0.13122295776956333, 1.0, -0.48244003679996617, 0.6250445687079639, -0.1765778478211781, -0.05986395764437838, 0.0934205586865593, -0.8302910889489459, 1.0, 1.0]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
8,2500,0.584500282595806,1269,4.015255082999829,"[-0.250919762305275, 0.40142861281983244, 0.6639878836228101, 0.49731696839407313, -0.687962719115127, -0.08801095932759478, -1.0, 0.33235229154987045, 0.2022300234864176, 1.0, -1.0, -0.09999999999999987, 0.6648852816008435, -0.9, -0.23635006558579882, -0.033190980293132416, -0.39151551408092455, -0.25048713673552436, -0.13610996271576847, -0.2175417196039162, 0.22370578944475894, -0.021012278695916403, -0.9, -1.0, -0.08786003156592814, -0.12964807721397276, -0.3006524356832806, 0.42846887682722323, 0.18482913772408494, -0.10000000000000014, -0.48491029619712334, -1.0, -0.869896814029441, 0.7000000000000001, 1.0, 0.6167946962329223, -0.39077246165325863, -1.0, 0.9, 0.5803049874792026, -0.7559235303104423, -0.8096461797774596, -0.13122295776956333, 1.0, -0.48244003679996617, 0.6250445687079639, -0.1765778478211781, -0.05986395764437838, 0.0934205586865593, -0.8302910889489459, 1.0, 1.0]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
9,5000,0.584500282595806,1269,4.015255082999829,"[-0.250919762305275, 0.40142861281983244, 0.6639878836228101, 0.49731696839407313, -0.687962719115127, -0.08801095932759478, -1.0, 0.33235229154987045, 0.2022300234864176, 1.0, -1.0, -0.09999999999999987, 0.6648852816008435, -0.9, -0.23635006558579882, -0.033190980293132416, -0.39151551408092455, -0.25048713673552436, -0.13610996271576847, -0.2175417196039162, 0.22370578944475894, -0.021012278695916403, -0.9, -1.0, -0.08786003156592814, -0.12964807721397276, -0.3006524356832806, 0.42846887682722323, 0.18482913772408494, -0.10000000000000014, -0.48491029619712334, -1.0, -0.869896814029441, 0.7000000000000001, 1.0, 0.6167946962329223, -0.39077246165325863, -1.0, 0.9, 0.5803049874792026, -0.7559235303104423, -0.8096461797774596, -0.13122295776956333, 1.0, -0.48244003679996617, 0.6250445687079639, -0.1765778478211781, -0.05986395764437838, 0.0934205586865593, -0.8302910889489459, 1.0, 1.0]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
10,10000,0.584500282595806,1269,4.015255082999829,"[-0.250919762305275, 0.40142861281983244, 0.6639878836228101, 0.49731696839407313, -0.687962719115127, -0.08801095932759478, -1.0, 0.33235229154987045, 0.2022300234864176, 1.0, -1.0, -0.09999999999999987, 0.6648852816008435, -0.9, -0.23635006558579882, -0.033190980293132416, -0.39151551408092455, -0.25048713673552436, -0.13610996271576847, -0.2175417196039162, 0.22370578944475894, -0.021012278695916403, -0.9, -1.0, -0.08786003156592814, -0.12964807721397276, -0.3006524356832806, 0.42846887682722323, 0.18482913772408494, -0.10000000000000014, -0.48491029619712334, -1.0, -0.869896814029441, 0.7000000000000001, 1.0, 0.6167946962329223, -0.39077246165325863, -1.0, 0.9, 0.5803049874792026, -0.7559235303104423, -0.8096461797774596, -0.13122295776956333, 1.0, -0.48244003679996617, 0.6250445687079639, -0.1765778478211781, -0.05986395764437838, 0.0934205586865593, -0.8302910889489459, 1.0, 1.0]",1000,True,"[-0.250919762305275, 0.9014286128198323, 0.4639878836228102, 0.1973169683940732, -0.687962719115127, -0.6880109593275947, -0.8838327756636011, 0.7323522915498704, 0.2022300234864176, 0.416145155592091, -0.9588310114083951, 0.9398197043239886, 0.6648852816008435, -0.5753217786434477, -0.6363500655857988, -0.6331909802931324, -0.39151551408092455, 0.04951286326447568, -0.13610996271576847, -0.4175417196039162, 0.22370578944475894, -0.7210122786959163, -0.4157107029295637, -0.2672763134126166, -0.08786003156592814, 0.5703519227860272, -0.6006524356832805, 0.02846887682722321, 0.18482913772408494, -0.9070991745600046, 0.21508970380287673, -0.6589517526254169, -0.869896814029441, 0.8977710745066665, 0.9312640661491187, 0.6167946962329223, -0.39077246165325863, -0.8046557719872323, 0.3684660530243138, -0.1196950125207974, -0.7559235303104423, -0.00964617977745963, -0.9312229577695632, 0.8186408041575641, -0.48244003679996617, 0.32504456870796394, -0.3765778478211781, 0.040136042355621626, 0.0934205586865593, -0.6302910889489459, 0.9391692555291171, 0.5502656467222291]",rhc,relu,True,True,1,[4],0.1,100,0
